,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,flag_suburb,flag_street_Address,flag_type,flag_regionname
0,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,64.0,2865.0,0.0,1.0
1,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,64.0,5.0,0.0,1.0
2,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,64.0,24.0,0.0,1.0
3,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,64.0,56.0,0.0,1.0
4,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,64.0,5.0,0.0,1.0
5,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,64.0,656.0,0.0,1.0
6,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,64.0,12.0,0.0,1.0
7,2.5,2.0,2.0,1.0,0.0,94.0,2009.0,-37.8078,144.9965,64.0,12.0,1.0,1.0
8,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,64.0,4.0,0.0,1.0
9,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,64.0,69.0,0.0,1.0
10,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,64.0,56.0,0.0,1.0
11,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,64.0,656.0,0.0,1.0
12,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,64.0,5.0,0.0,1.0
13,2.5,2.0,1.0,1.0,0.0,60.0,1970.0,-37.8015,144.9972,64.0,12.0,1.0,1.0
14,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,64.0,4.0,0.0,1.0
15,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,-37.808,144.994,64.0,24.0,0.0,1.0
16,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001,64.0,285.0,0.0,1.0
17,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,-37.8005,144.9952,64.0,24.0,0.0,1.0
18,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958,64.0,1432.0,0.0,1.0
19,2.5,1.0,1.0,1.0,0.0,50.0,2013.0,-37.8055,144.9961,64.0,151.0,1.0,1.0
20,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,-37.8016,144.9956,64.0,1394.0,0.0,1.0
21,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,-37.8022,144.9954,64.0,56.0,0.0,1.0
22,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,-37.8021,144.9976,64.0,12.0,0.0,1.0
23,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,-37.8086,144.9946,64.0,5.0,0.0,1.0
24,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,-37.718,144.878,62.0,472.0,2.0,2.0
25,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,62.0,218.0,0.0,2.0
26,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,62.0,218.0,0.0,2.0
27,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,-37.7294,144.888,62.0,595.0,0.0,2.0
28,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,-37.7218,144.8837,62.0,996.0,2.0,2.0
29,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744,62.0,1402.0,0.0,2.0
30,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,-37.7215,144.8864,62.0,3199.0,1.0,2.0
31,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735,62.0,1989.0,0.0,2.0
32,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871,62.0,355.0,2.0,2.0
