,Unnamed: 0,Suburb,Address,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname
0,0,Abbotsford,25 Bloomburg St,h,1035000.0,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,Northern Metropolitan
1,1,Abbotsford,5 Charles St,h,1465000.0,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,Northern Metropolitan
2,2,Abbotsford,55a Park St,h,1600000.0,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,Northern Metropolitan
3,3,Abbotsford,124 Yarra St,h,1876000.0,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,Northern Metropolitan
4,4,Abbotsford,98 Charles St,h,1636000.0,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,Northern Metropolitan
5,5,Abbotsford,10 Valiant St,h,1097000.0,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,Northern Metropolitan
6,6,Abbotsford,40 Nicholson St,h,1350000.0,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,Northern Metropolitan
7,7,Abbotsford,123/56 Nicholson St,u,750000.0,2.5,2.0,2.0,1.0,0.0,94.0,2009.0,-37.8078,144.9965,Northern Metropolitan
8,8,Abbotsford,16 William St,h,1310000.0,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,Northern Metropolitan
9,9,Abbotsford,42 Henry St,h,1200000.0,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,Northern Metropolitan
10,10,Abbotsford,78 Yarra St,h,1176500.0,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,Northern Metropolitan
11,11,Abbotsford,42 Valiant St,h,890000.0,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,Northern Metropolitan
12,12,Abbotsford,3/72 Charles St,h,1330000.0,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,Northern Metropolitan
13,13,Abbotsford,6/219 Nicholson St,u,500000.0,2.5,2.0,1.0,1.0,0.0,60.0,1970.0,-37.8015,144.9972,Northern Metropolitan
14,14,Abbotsford,52a William St,h,1100000.0,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,Northern Metropolitan
15,15,Abbotsford,49 Park St,h,1315000.0,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,-37.808,144.994,Northern Metropolitan
16,16,Abbotsford,48 Abbotsford St,h,1447500.0,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001,Northern Metropolitan
17,17,Abbotsford,159 Park St,h,1135000.0,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,-37.8005,144.9952,Northern Metropolitan
18,18,Abbotsford,60 Stafford St,h,1290000.0,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958,Northern Metropolitan
19,19,Abbotsford,11/205 Gipps St,u,470000.0,2.5,1.0,1.0,1.0,0.0,50.0,2013.0,-37.8055,144.9961,Northern Metropolitan
20,20,Abbotsford,47 Studley St,h,1180000.0,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,-37.8016,144.9956,Northern Metropolitan
21,21,Abbotsford,45 Yarra St,h,1195000.0,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,-37.8022,144.9954,Northern Metropolitan
22,22,Abbotsford,200 Nicholson St,h,1012500.0,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,-37.8021,144.9976,Northern Metropolitan
23,23,Abbotsford,27 Charles St,h,1030000.0,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,-37.8086,144.9946,Northern Metropolitan
24,24,Airport West,154 Halsey Rd,t,840000.0,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,-37.718,144.878,Western Metropolitan
25,25,Airport West,50 Bedford St,h,730000.0,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,Western Metropolitan
26,26,Airport West,50 Bedford St,h,770000.0,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,Western Metropolitan
27,27,Airport West,23 Hart St,h,603000.0,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,-37.7294,144.888,Western Metropolitan
28,28,Airport West,1/80 Hawker St,t,700000.0,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,-37.7218,144.8837,Western Metropolitan
29,29,Airport West,1/37 Hillside Gr,h,600000.0,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744,Western Metropolitan
30,30,Airport West,2/49 McIntosh St,u,500000.0,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,-37.7215,144.8864,Western Metropolitan
31,31,Airport West,11 Harrington Rd,h,725000.0,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735,Western Metropolitan
32,32,Airport West,2/252 Parer Rd,t,450000.0,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871,Western Metropolitan
33,33,Airport West,3/19 Hart St,u,515000.0,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883,Western Metropolitan
34,34,Airport West,2/62 Clydesdale Rd,u,530000.0,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792,Western Metropolitan
35,35,Airport West,3 Deidre Ct,h,895000.0,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728,Western Metropolitan
36,36,Airport West,13 Etzel St,h,805000.0,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,-37.7217,144.8783,Western Metropolitan
37,37,Airport West,1/43 Cameron St,u,752000.0,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855,Western Metropolitan
38,38,Airport West,2/40 Earl St,t,700000.0,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,Western Metropolitan
39,39,Airport West,180 Parer Rd,h,830000.0,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,Western Metropolitan
40,40,Airport West,174 Parer Rd,h,675000.0,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,Western Metropolitan
41,41,Airport West,138 Victory Rd,h,1042000.0,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,Western Metropolitan
42,42,Airport West,6 Kittyhawk St,h,773000.0,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,Western Metropolitan
43,43,Airport West,478 Fullarton Rd,h,810000.0,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,Western Metropolitan
44,44,Airport West,144 Marshall Rd,h,715000.0,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,Western Metropolitan
45,45,Airport West,3/7 South Rd,t,540000.0,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,Western Metropolitan
46,46,Airport West,37 North St,t,825000.0,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,Western Metropolitan
47,47,Airport West,10 Hilbert Rd,h,685000.0,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,Western Metropolitan
48,48,Airport West,85 Roberts Rd,h,900000.0,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,Western Metropolitan
49,49,Albert Park,105 Kerferd Rd,h,1275000.0,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,Southern Metropolitan
