,street,flat
0,Barkly St,0
1,High St,1
2,Victoria St,2
3,Dandenong Rd,3
4,William St,4
5,Charles St,5
6,North Rd,6
7,Thomas St,7
8,Albion St,8
9,Toorak Rd,9
10,Gordon St,10
11,Church St,11
12,Nicholson St,12
13,Buckley St,13
14,Smith St,14
15,The Avenue,15
16,Wellington St,16
17,Williams Rd,17
18,South Rd,18
19,Station St,19
20,New St,20
21,Mitchell St,21
22,Waterdale Rd,22
23,Harold St,23
24,Park St,24
25,Mason St,25
26,Ross St,26
27,Derby St,27
28,Tennyson St,28
29,Elizabeth St,29
30,Moore St,30
31,Bell St,31
32,George St,32
33,Bruce St,33
34,Grange Rd,34
35,Ormond Rd,35
36,Oxford St,36
37,Sussex St,37
38,Blyth St,38
39,Miller St,39
40,River St,40
41,Stephen St,41
42,Caroline St,42
43,Canterbury Rd,43
44,Collins St,44
45,May St,45
46,Nott St,46
47,Albert St,47
48,Stawell St,48
49,York St,49
50,Brighton Rd,50
51,Clifton St,51
52,Centre Rd,52
53,Stanley St,53
54,Princes St,54
55,Byron St,55
56,Yarra St,56
57,Murray Rd,57
58,Argyle St,58
59,Page St,59
60,Shelley St,60
61,Wilson St,61
62,Napier St,62
63,The Boulevard,63
64,Arthur St,64
65,Punt Rd,65
66,Hunter St,66
67,Brunswick Rd,67
68,Williamstown Rd,68
69,Henry St,69
70,Kooyong Rd,70
71,Green St,71
72,Moreland Rd,72
73,Vincent St,73
74,Walter St,74
75,Stewart St,75
76,King St,76
77,Orrong Rd,77
78,Peel St,78
79,Alexander St,79
80,Cecil St,80
81,Pender St,81
82,Burwood Rd,82
83,Union St,83
84,Clarendon St,84
85,Epsom Rd,85
86,Waverley Rd,86
87,Rathmines St,87
88,Edgar St,88
89,Duke St,89
90,Glenlyon Rd,90
91,John St,91
92,Moonya Rd,92
93,Balwyn Rd,93
94,Dover St,94
95,Ogilvie St,95
96,Glen Huntly Rd,96
97,West St,97
98,Buckingham St,98
99,Osborne St,99
100,Mary St,100
101,Union Rd,101
102,Malvern Rd,102
103,Margaret St,103
104,Riversdale Rd,104
105,Rose St,105
106,Power St,106
107,Walsh St,107
108,Clyde St,108
109,Glenferrie Rd,109
110,Kensington Rd,110
111,Lennox St,111
112,Bent St,112
113,Gillies St,113
114,Hotham St,114
115,Campbell St,115
116,Purinuan Rd,116
117,Simpson St,117
118,Edward St,118
119,Hamilton St,119
120,Barton St,120
121,Essex St,121
122,Princess St,122
123,Liberty Pde,123
124,Station Rd,124
125,Belmore Rd,125
126,Flinders St,126
127,Neerim Rd,127
128,Truganini Rd,128
129,Hampton St,129
130,Bowen St,130
131,Graham St,131
132,Roberts St,132
133,Swanston St,133
134,Scotchmer St,134
135,Park Dr,135
136,Fitzroy St,136
137,Burnley St,137
138,Altona St,138
139,Chirnside St,139
140,Winifred St,140
141,Powell St,141
142,Roseberry St,142
143,Oakleigh Rd,143
144,Murray St,144
145,Heller St,145
146,Albert Rd,146
147,Tooronga Rd,147
148,Hope St,148
149,Evans St,149
150,Franklin St,150
151,Gipps St,151
152,Bay St,152
153,Lillimur Rd,153
154,Cameron St,154
155,Rathcown Rd,155
156,Maribyrnong Rd,156
157,The Parade,157
158,Monash St,158
159,Denbigh Rd,159
160,Willis St,160
161,Blair St,161
162,Hyde St,162
163,Donald St,163
164,Ballarat Rd,164
165,Nimmo St,165
166,Barkers Rd,166
167,Wills St,167
168,Tucker Rd,168
169,Robinson St,169
170,Chapel St,170
171,Lord St,171
172,Scotia St,172
173,Queen St,173
174,Davies St,174
175,Raglan St,175
176,Dorcas St,176
177,Whitehorse Rd,177
178,Manningham Rd,178
179,Herbert St,179
180,Thompson St,180
181,Heath St,181
182,Clarke St,182
183,Raleigh St,183
184,Murrumbeena Rd,184
185,Wattletree Rd,185
186,Milton St,186
187,Anderson St,187
188,Verdon St,188
189,Leicester St,189
190,Barnett St,190
191,Glenroy Rd,191
192,Tambet St,192
193,Norfolk St,193
194,Stokes St,194
195,Berry St,195
196,Richardson St,196
197,Kendall St,197
198,Tanner St,198
199,Montague St,199
200,Dickens St,200
201,Blackshaws Rd,201
202,Millers Rd,202
203,Surrey St,203
204,Cooper St,204
205,Rosanna Rd,205
206,Severn St,206
207,Francis St,207
208,Clarence St,208
209,Barry St,209
210,Horne St,210
211,Gladstone St,211
212,Canterbury St,212
213,Carlisle St,213
214,Johnstone St,214
215,Reynard St,215
216,Pitt St,216
217,Geelong Rd,217
218,Bedford St,218
219,Mercer Rd,219
220,Queens Pde,220
221,Kokaribb Rd,221
222,Rankins Rd,222
223,Wood St,223
224,Pascoe Vale Rd,224
225,Rouse St,225
226,Cobden St,226
227,Howard St,227
228,Ascot Vale Rd,228
229,Middle St,229
230,Daley St,230
231,Oriel Rd,231
232,St Kilda St,232
233,Addison St,233
234,Commercial Rd,234
235,Summerhill Rd,235
236,Victoria Rd,236
237,Dow St,237
238,Earl St,238
239,Rae St,239
240,De Carle St,240
241,Outlook Dr,241
242,Coorigil Rd,242
243,Lygon St,243
244,Crookston Rd,244
245,Ashley St,245
246,Wells St,246
247,Rossmoyne St,247
248,Drummond St,248
249,Exhibition St,249
250,Burke Rd,250
251,MacPherson St,251
252,Hall St,252
253,Reid St,253
254,Bloomfield Rd,254
255,Hickford St,255
256,Martin St,256
257,Tyler St,257
258,Pridham St,258
259,Maidstone St,259
260,Mawbey St,260
261,South St,261
262,Atkinson St,262
263,Anderson Rd,263
264,Frederick St,264
265,Grant St,265
266,Hoddle St,266
267,Young St,267
268,Munro St,268
269,Dendy St,269
270,The Fairway,270
271,Wickham Rd,271
272,Gardiner Pde,272
273,Nolan St,273
274,Robe St,274
275,Woornack Rd,275
276,Garnet St,276
277,Gerald St,277
278,Crefden St,278
279,Champion St,279
280,Beach St,280
281,Allard St,281
282,Murphy St,282
283,Helston St,283
284,Market St,284
285,Abbotsford St,285
286,Johnson St,286
287,Hannan St,287
288,Westgarth St,288
289,Drysdale St,289
290,Atherton Rd,290
291,Marlborough St,291
292,Brighton St,292
293,Dover Rd,293
294,Sycamore St,294
295,McBryde St,295
296,Hawthorn Rd,296
297,View St,297
298,Cromwell Rd,298
299,Wales St,299
300,Brougham St,300
301,Elgar Rd,301
302,Regent St,302
303,Leinster Gr,303
304,Cuthbert St,304
305,Kilby Rd,305
306,Dundas St,306
307,Leamington St,307
308,Greeves St,308
309,Faraday St,309
310,Weir St,310
311,Darling St,311
312,Warmington Rd,312
313,Bridge St,313
314,Mascoma St,314
315,Pearson St,315
316,Ireland St,316
317,Osborne Av,317
318,Florence St,318
319,Gordon Gr,319
320,Flowerdale Rd,320
321,Edwin St,321
322,Mt Alexander Rd,322
323,Sutherland St,323
324,Railway Pde,324
325,Keam St,325
326,Swan St,326
327,Eldridge St,327
328,Neville St,328
329,The Esplanade,329
330,Gooch St,330
331,Brooks St,331
332,Woodland St,332
333,Morell St,333
334,Service St,334
335,Auburn Rd,335
336,Acland St,336
337,Burns St,337
338,Lynch St,338
339,Cromwell St,339
340,Graham Rd,340
341,Waverley St,341
342,Scott St,342
343,Thompsons Rd,343
344,Jackson St,344
345,Harrison St,345
346,Fromer St,346
347,Leila Rd,347
348,Virginia St,348
349,Linacre Rd,349
350,Gore St,350
351,Howe St,351
352,Kent Rd,352
353,Middle Rd,353
354,Cornwall Rd,354
355,Parer Rd,355
356,Ashburn Gr,356
357,Glover St,357
358,Hartington St,358
359,Normanby Rd,359
360,Patterson Rd,360
361,Auburn Gr,361
362,Coventry St,362
363,Coppin St,363
364,Havelock St,364
365,Gilbert Rd,365
366,Magnolia Rd,366
367,Lisson Gr,367
368,Deakin St,368
369,Perry St,369
370,Gourlay St,370
